symbol,asset_id,weather_area_id,period_end,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,temperature_2m_mean_c,et0_fao_evapotranspiration_sum_mm,weather_days,data_kind,grid_points,area_weight_coverage,modeled_basin_area_km2,official_basin_area_km2,source_url,retrieved_at,source_note
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2013-03-31,93.9752,13.92995,60.999393,-2.610795111111111,211.797998,90,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2013-06-30,482.70633000000004,358.58051,89.417678,5.980503736263736,296.657001,91,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2013-09-30,531.60558,505.08126999999996,18.567017,10.095794347826086,277.25748,92,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2013-12-31,146.2376,67.77408,63.546448,-1.4139465217391305,168.074569,92,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2014-03-31,83.68558,13.73874,53.359754,-3.1943953333333335,203.63307999999998,90,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2014-06-30,373.00268,298.53176,53.943771,7.154202747252747,300.704376,91,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2014-09-30,587.0582,569.00721,12.635693,10.106791847826088,247.30846499999998,92,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2014-12-31,106.12552,53.01093,45.383632,0.5187167391304349,174.648091,92,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2015-03-31,50.86754,13.49787,31.228701,-1.7797627777777776,220.49589899999998,90,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2015-06-30,428.319,348.4012,58.245537000000006,7.091507912087911,294.99908,91,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2015-09-30,605.289,597.67294,5.331242,9.408649565217392,244.73501299999998,92,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
508026,wuyiqiao_1_5,wuyiqiao_merit_candidate,2015-12-31,126.47158,62.48378,51.826565,-0.20550804347826074,176.250139,92,ex_post_reanalysis_era5_area_weighted_candidate,8,1.0,1930,1642,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-09-02,基于MERIT候选流域8个ERA5网格的近似面积权重；候选面积较官方披露高17.54%；仅用于敏感性分析；事后再分析不可用于交易回测
