symbol,feature_id,period_end,publication_date,metric,aggregation,asset_ids,asset_count,current_value,lag_period_end,lag_value_as_of_publication,operating_yoy_pct,current_observation_ids,lag_observation_ids,current_quality_status,lag_quality_status,lineage_quality_status,prior_yoy_observations,expected_yoy_pct,operating_surprise_pct,asset_type,decision_date,universe_count,signal_rank,signal_rank_pct,selected,raw_operating_surprise_pct,signal_price_date,unadjusted_close,ttm_dpu_per_unit,ttm_distribution_yield,nav_per_unit,nav_to_price,total_return_momentum_20d,raw_operating_surprise_pct_rank_pct,ttm_distribution_yield_rank_pct,nav_to_price_rank_pct,total_return_momentum_20d_rank_pct,model_score,phase4_universe_count,model_rank
508018,jiayu_tongcheng_traffic_yoy,2024-09-30,2024-10-25,traffic_volume,sum,jiayu_tongcheng_expressway,1,28100.0,2023-09-30,26500.0,6.037735849056602,508018:jiayu_tongcheng_expressway:20240930:traffic_volume:SSE_508018_20241025_3E0F,508018:jiayu_tongcheng_expressway:20230930:traffic_volume:SSE_508018_20231024_PTGV,verified,verified,verified,1,-6.493506493506496,0.8214285714285714,toll_road,2024-10-25,7,2.0,0.8571428571428571,True,12.531242342563099,2024-10-25,4.89,0.28937,0.0591758691206544,9.0603,1.8528220858895705,0.008871466886734014,0.8571428571428571,0.5714285714285714,1.0,0.8571428571428571,0.8214285714285714,7,1
180201,guanghe_traffic_yoy,2024-09-30,2024-10-25,traffic_volume,sum,guanghe_expressway,1,151800.0,2023-09-30,155200.0,-2.1907216494845394,180201:guanghe_expressway:20240930:traffic_volume:SZSE_1221508383,180201:guanghe_expressway:20230930:traffic_volume:SZSE_1218137901,verified,verified,verified,2,-4.525818954738686,0.6071428571428571,toll_road,2024-10-25,7,3.0,0.7142857142857143,True,2.335097305254146,2024-10-25,9.25,0.6286999999999998,0.06796756756756754,11.6782,1.2625081081081082,-0.02467313369886126,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.14285714285714285,0.6071428571428571,7,2
508056,glp_post_expansion_occupancy_yoy,2024-09-30,2024-10-25,occupancy,sum,post_expansion_portfolio,1,84.94,2023-09-30,88.46,-3.9791996382545713,508056:post_expansion_portfolio:20240930:occupancy:SSE_508056_20241025_Y07L,508056:post_expansion_portfolio:20230930:occupancy:SSE_508056_20231025_2K5G,verified,verified,verified,1,-2.2151176067595313,0.6071428571428571,logistics,2024-10-25,7,4.0,0.5714285714285714,False,-1.76408203149504,2024-10-25,3.483,0.14237999999999978,0.040878552971576165,3.6602,1.0508756818834337,0.015748031496062964,0.5714285714285714,0.2857142857142857,0.5714285714285714,1.0,0.6071428571428571,7,3
180301,yantian_occupancy_yoy,2024-09-30,2024-10-25,occupancy,sum,modern_logistics_center,1,88.26,2023-09-30,99.0,-10.84848484848484,180301:modern_logistics_center:20240930:occupancy:SZSE_1221505102,180301:modern_logistics_center:20230930:occupancy:SZSE_1218133516,verified,verified,verified,2,-7.747474747474753,0.5357142857142857,logistics,2024-10-25,7,5.0,0.42857142857142855,False,-3.101010101010088,2024-10-25,2.112,0.1035399999999999,0.04902462121212116,2.2931,1.085748106060606,0.004279600570613384,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.5357142857142857,7,4
508096,solar_settlement_yoy,2024-09-30,2024-10-24,settled_electricity,sum,hubei_jingtai_pv|yulin_pv,2,13200.0,2023-09-30,15100.0,-12.58278145695364,508096:hubei_jingtai_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1|508096:yulin_pv:20240930:settled_electricity:SSE_508096_20241024_4OB1,508096:hubei_jingtai_pv:20230930:settled_electricity:SSE_508096_20231024_ZVCR|508096:yulin_pv:20230930:settled_electricity:SSE_508096_20231024_ZVCR,unverified,unverified,contains_unverified_source_registry,1,12.5,0.5,mixed_energy,2024-10-25,7,7.0,0.14285714285714285,False,-25.08278145695364,2024-10-25,10.5,1.6218000000000001,0.15445714285714288,9.1272,0.8692571428571428,0.005073226763664396,0.14285714285714285,1.0,0.14285714285714285,0.7142857142857143,0.5,7,5
180401,gas_settlement_yoy,2024-09-30,2024-10-24,settled_electricity,sum,dongbu_power_phase1,1,122828.75,2023-09-30,141972.6,-13.484186385260255,180401:dongbu_power_phase1:20240930:settled_electricity:SZSE_1221490500,180401:dongbu_power_phase1:20230930:settled_electricity:SZSE_1218124391,unverified,unverified,contains_unverified_source_registry,4,-6.080050134480111,0.4642857142857143,gas_power,2024-10-25,7,6.0,0.2857142857142857,False,-7.4041362507801445,2024-10-25,6.105,0.8999999999999999,0.1474201474201474,5.9093,0.9679443079443079,-0.02053585753248821,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.4642857142857143,7,6
508028,wind_generation_yoy,2024-09-30,2024-10-25,power_generation,sum,binhai_h1_h2,1,29151.13,2023-09-30,20370.39,43.10540937115097,508028:binhai_h1_h2:20240930:power_generation:SSE_508028_20241025_2Z9V,508028:binhai_h1_h2:20230930:power_generation:SSE_508028_20231025_AA5D,unverified,unverified,contains_unverified_source_registry,1,-29.848601193973,0.46428571428571425,wind,2024-10-25,7,1.0,1.0,False,72.95401056512397,2024-10-25,10.008,0.369,0.0368705035971223,9.4069,0.9399380495603519,-0.01747496563911255,1.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.46428571428571425,7,7
180301,yantian_occupancy_yoy,2024-12-31,2025-01-22,occupancy,sum,modern_logistics_center,1,93.0,2023-12-31,95.23,-2.341699044418777,180301:modern_logistics_center:20241231:occupancy:SZSE_1222389148,180301:modern_logistics_center:20231231:occupancy:SZSE_1218956679,verified,verified,verified,3,-8.781144781144782,0.7083333333333334,logistics,2025-01-22,7,2.0,0.8571428571428571,True,6.439445736726006,2025-01-22,2.124,0.1289799999999999,0.060725047080979234,2.2931,1.079613935969868,0.06306306306306309,0.8333333333333334,0.5,0.6666666666666666,0.8333333333333334,0.7083333333333334,6,1
180201,guanghe_traffic_yoy,2024-12-31,2025-01-22,traffic_volume,sum,guanghe_expressway,1,133700.0,2023-12-31,138700.0,-3.604902667627974,180201:guanghe_expressway:20241231:traffic_volume:SZSE_1222390047,180201:guanghe_expressway:20231231:traffic_volume:SZSE_1218956497,verified,verified,verified,3,-3.7474531863206373,0.6666666666666666,toll_road,2025-01-22,7,4.0,0.5714285714285714,True,0.14255051869266344,2025-01-22,9.316,0.7657999999999999,0.08220266208673249,11.6782,1.2535637612709316,0.03499611154316207,0.5,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,6,2
180401,gas_settlement_yoy,2024-12-31,2025-01-21,settled_electricity,sum,dongbu_power_phase1,1,71922.4,2023-12-31,68366.1,5.201847114286151,180401:dongbu_power_phase1:20241231:settled_electricity:SZSE_1222380727,180401:dongbu_power_phase1:20231231:settled_electricity:SZSE_1218945900,unverified,unverified,contains_unverified_source_registry,5,-7.56087738463614,0.625,gas_power,2025-01-22,7,1.0,1.0,False,12.762724498922292,2025-01-22,6.233,0.795,0.12754692764318948,5.9093,0.9480667415369807,-0.007326007326007411,1.0,1.0,0.3333333333333333,0.16666666666666666,0.625,6,3
508018,jiayu_tongcheng_traffic_yoy,2024-12-31,2025-01-22,traffic_volume,sum,jiayu_tongcheng_expressway,1,23400.0,2023-12-31,23000.0,1.7391304347825987,508018:jiayu_tongcheng_expressway:20241231:traffic_volume:SSE_508018_20250122_8BLC,508018:jiayu_tongcheng_expressway:20231231:traffic_volume:SSE_508018_20240119_T5TG,verified,verified,verified,2,-0.22788532222494684,0.5833333333333334,toll_road,2025-01-22,7,3.0,0.7142857142857143,False,1.9670157570075455,2025-01-22,4.917,0.28888,0.058751271100264395,9.0603,1.842647956070775,0.0142326732673268,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.5833333333333334,6,4
