symbol,asset_id,period_end,metric,value,unit,publication_date,source_url,source_note
508026,wuyiqiao_1_5,2024-06-30,power_generation,8100.4400,10k_kWh,2024-08-03,https://www.jsfund.cn/main/fund/noticedetails/503581/index.shtml,2024年第2季度报告更正稿；数值由2025年第2季度报告同期栏交叉核验
508026,wuyiqiao_1_5,2024-06-30,utilization_hours,591,hours,2024-08-03,https://www.jsfund.cn/main/fund/noticedetails/503581/index.shtml,原披露名称为有效发电小时；数值由2025年第2季度报告同期栏交叉核验
508026,wuyiqiao_1_5,2024-06-30,settled_electricity,7976.5922,10k_kWh,2024-08-03,https://www.jsfund.cn/main/fund/noticedetails/503581/index.shtml,当期名称为上网电量且含暂估数据；后续规则调整名称为结算电量
508026,wuyiqiao_1_5,2024-06-30,settlement_tariff_excl_tax,0.2006,RMB_per_kWh,2024-08-03,https://www.jsfund.cn/main/fund/noticedetails/503581/index.shtml,当期名称为不含税上网电价；后续规则调整名称为结算电价
508026,wuyiqiao_1_5,2024-09-30,power_generation,23640.0112,10k_kWh,2024-10-25,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-25/508026_20241025_47Z6.pdf,2024年第3季度报告
508026,wuyiqiao_1_5,2024-09-30,utilization_hours,1726,hours,2024-10-25,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-25/508026_20241025_47Z6.pdf,原披露名称为有效发电小时
508026,wuyiqiao_1_5,2024-09-30,settled_electricity,23356.8233,10k_kWh,2024-10-25,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-25/508026_20241025_47Z6.pdf,当期名称为上网电量且含暂估数据；后续规则调整名称为结算电量
508026,wuyiqiao_1_5,2024-09-30,settlement_tariff_excl_tax,0.1296,RMB_per_kWh,2024-10-25,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-25/508026_20241025_47Z6.pdf,当期名称为不含税上网电价
508026,wuyiqiao_1_5,2024-12-31,power_generation,12754.2970,10k_kWh,2025-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-22/508026_20250122_3O29.pdf,2024年第4季度报告
508026,wuyiqiao_1_5,2024-12-31,utilization_hours,931,hours,2025-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-22/508026_20250122_3O29.pdf,原披露名称为有效发电小时
508026,wuyiqiao_1_5,2024-12-31,settled_electricity,12578.1757,10k_kWh,2025-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-22/508026_20250122_3O29.pdf,当期名称为上网电量；后续规则调整名称为结算电量
508026,wuyiqiao_1_5,2024-12-31,settlement_tariff_excl_tax,0.2030,RMB_per_kWh,2025-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-22/508026_20250122_3O29.pdf,不含税上网电价；由2025年第4季度报告同期栏交叉核验
508026,wuyiqiao_1_5,2025-03-31,power_generation,5791.1392,10k_kWh,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508026_20250422_FNF9.pdf,2025年第1季度报告
508026,wuyiqiao_1_5,2025-03-31,utilization_hours,423,hours,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508026_20250422_FNF9.pdf,原披露名称为有效发电小时
508026,wuyiqiao_1_5,2025-03-31,settled_electricity,5680.1939,10k_kWh,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508026_20250422_FNF9.pdf,当期名称为上网电量且含暂估数据；后续规则调整名称为结算电量
508026,wuyiqiao_1_5,2025-03-31,settlement_tariff_excl_tax,0.3285,RMB_per_kWh,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508026_20250422_FNF9.pdf,当期名称为不含税上网电价
